,insertion_sort,bubble_sort,selection_sort,comb_sort,enhanced_cocktail_sort,quicksort,input_control,param_1_length,quicksortRecursionError
758,4.01819372177124,1.9689080715179443,1.3462259769439697,0.013377666473388672,0.0005133152008056641,1.1999003887176514,sorted,8000,1.0
759,0.013773202896118164,7.618971586227417,1.4073154926300049,0.016817808151245117,7.827672481536865,0.8170368671417236,reverse,8000,1.0
760,2.0270681381225586,4.938472270965576,1.375195026397705,0.028479337692260742,4.5954132080078125,0.01400446891784668,random,8000,
761,4.011869192123413,1.9653308391571045,1.3418452739715576,0.013297796249389648,0.0005064010620117188,1.300438404083252,sorted,8000,1.0
762,0.013803958892822266,7.815167427062988,1.4607386589050293,0.017599821090698242,7.9946675300598145,0.8340737819671631,reverse,8000,1.0
763,2.0933475494384766,5.145172595977783,1.3900339603424072,0.02786540985107422,4.6739726066589355,0.013841629028320312,random,8000,
764,4.012902498245239,1.970120906829834,1.3503198623657227,0.013393878936767578,0.0005080699920654297,1.274207353591919,sorted,8000,1.0
765,0.013747692108154297,7.605705738067627,1.425002098083496,0.017573118209838867,7.847671270370483,0.8159580230712891,reverse,8000,1.0
766,2.148599147796631,5.085149526596069,1.4033293724060059,0.027328014373779297,4.647831678390503,0.013712882995605469,random,8000,
767,4.01187801361084,1.9681811332702637,1.340989589691162,0.013294219970703125,0.0005068778991699219,1.1750216484069824,sorted,8000,1.0
768,0.013761520385742188,7.665692567825317,1.4331412315368652,0.016878128051757812,7.817308187484741,0.8930923938751221,reverse,8000,1.0
769,2.0531816482543945,4.89695405960083,1.3578102588653564,0.028810977935791016,4.471078634262085,0.014208316802978516,random,8000,
770,4.014850378036499,1.972076416015625,1.3546459674835205,0.013328313827514648,0.0005133152008056641,1.1899797916412354,sorted,8000,1.0
771,0.01370382308959961,7.59809947013855,1.4059655666351318,0.016805171966552734,7.826809406280518,0.9981558322906494,reverse,8000,1.0
772,2.082514524459839,5.044954776763916,1.3770155906677246,0.0286710262298584,4.527014255523682,0.01371002197265625,random,8000,
773,4.022496461868286,1.973755121231079,1.3500168323516846,0.013346195220947266,0.000507354736328125,1.1998920440673828,sorted,8000,1.0
774,0.013734579086303711,7.596089124679565,1.408116102218628,0.016843557357788086,7.826739311218262,0.8815228939056396,reverse,8000,1.0
775,2.026890277862549,4.923529624938965,1.360901117324829,0.0286405086517334,4.477010726928711,0.013729572296142578,random,8000,
776,4.01532506942749,1.970550537109375,1.3539986610412598,0.013316631317138672,0.000507354736328125,1.178832769393921,sorted,8000,1.0
777,0.013725757598876953,7.618236064910889,1.4066414833068848,0.01681375503540039,7.831128358840942,1.107018232345581,reverse,8000,1.0
778,2.0384230613708496,4.965922117233276,1.375213861465454,0.027679920196533203,4.507164716720581,0.014558792114257812,random,8000,
779,4.010830879211426,2.06974720954895,1.3910713195800781,0.01355600357055664,0.000507354736328125,1.1617977619171143,sorted,8000,1.0
780,0.01380777359008789,8.285373449325562,1.4618785381317139,0.01778101921081543,8.19165587425232,0.8715558052062988,reverse,8000,1.0
781,1.9785456657409668,4.8941004276275635,1.3364388942718506,0.028355836868286133,4.463940620422363,0.013967275619506836,random,8000,
782,4.018162488937378,1.9764378070831299,1.3467371463775635,0.01333928108215332,0.0005071163177490234,1.1706483364105225,sorted,8000,1.0
783,0.013818502426147461,8.204692363739014,1.4101121425628662,0.01686859130859375,7.83062481880188,0.8771228790283203,reverse,8000,1.0
784,2.0228078365325928,4.9371442794799805,1.3626437187194824,0.027547121047973633,4.523780584335327,0.01515507698059082,random,8000,
785,4.019959449768066,1.973376750946045,1.3494172096252441,0.013321399688720703,0.0005078315734863281,1.157193660736084,sorted,8000,1.0
786,0.013713598251342773,7.843650579452515,1.4267592430114746,0.0168759822845459,8.108371019363403,0.8525323867797852,reverse,8000,1.0
787,2.1193110942840576,5.083700180053711,1.4006130695343018,0.028345346450805664,4.630374431610107,0.014240503311157227,random,8000,
788,4.29351019859314,1.9734089374542236,1.345289707183838,0.013367414474487305,0.0005090236663818359,1.222724199295044,sorted,8000,1.0
789,0.013837099075317383,8.663662910461426,1.7051277160644531,0.020434856414794922,8.394893407821655,1.0958411693572998,reverse,8000,1.0
790,2.01723575592041,5.135981321334839,1.4019510746002197,0.02725052833557129,4.6671178340911865,0.013923168182373047,random,8000,
791,4.013752698898315,1.9669365882873535,1.343203067779541,0.013604402542114258,0.0005095005035400391,1.2169578075408936,sorted,8000,1.0
792,0.013725996017456055,7.599279880523682,1.4500646591186523,0.017269134521484375,7.824192047119141,0.8591680526733398,reverse,8000,1.0
793,2.1078903675079346,4.963191509246826,1.3359503746032715,0.02606058120727539,4.577145099639893,0.013895273208618164,random,8000,
794,4.033245325088501,1.9692418575286865,1.3466427326202393,0.013316631317138672,0.0005083084106445312,1.2703938484191895,sorted,8000,1.0
795,0.013720035552978516,7.6077868938446045,1.4083623886108398,0.01687479019165039,7.822619676589966,0.8569364547729492,reverse,8000,1.0
796,1.9941349029541016,5.177229642868042,1.3886017799377441,0.02731466293334961,4.736844062805176,0.014088869094848633,random,8000,
