,linear_sorted,binary_sorted,jump_sorted,found,param_1_length,param_2_value
514,7.009506225585938e-05,2.86102294921875e-06,7.867813110351562e-06,True,6000,25945
515,0.00017762184143066406,3.5762786865234375e-06,1.4543533325195312e-05,False,6000,64852
516,0.0001316070556640625,3.814697265625e-06,1.239776611328125e-05,True,6000,47483
517,0.00011992454528808594,3.0994415283203125e-06,9.775161743164062e-06,False,6000,42317
518,0.00018262863159179688,3.0994415283203125e-06,1.239776611328125e-05,True,6000,64952
519,0.00019979476928710938,3.0994415283203125e-06,1.4066696166992188e-05,False,6000,71871
520,0.0001952648162841797,2.6226043701171875e-06,1.3113021850585938e-05,True,6000,69519
521,0.00024580955505371094,2.6226043701171875e-06,1.621246337890625e-05,False,6000,86860
522,6.532669067382812e-05,3.337860107421875e-06,6.198883056640625e-06,True,6000,22595
523,0.00012040138244628906,3.5762786865234375e-06,1.1205673217773438e-05,False,6000,43626
524,0.00019884109497070312,3.0994415283203125e-06,1.4066696166992188e-05,True,6000,71819
525,0.00013303756713867188,3.0994415283203125e-06,1.0728836059570312e-05,False,6000,40571
526,0.00012540817260742188,3.337860107421875e-06,9.775161743164062e-06,True,6000,44074
527,0.00023031234741210938,3.0994415283203125e-06,1.5020370483398438e-05,False,6000,79576
528,0.00023794174194335938,3.814697265625e-06,1.5020370483398438e-05,True,6000,65872
529,0.00018668174743652344,3.0994415283203125e-06,1.3828277587890625e-05,False,6000,67447
530,0.00014734268188476562,3.0994415283203125e-06,1.1205673217773438e-05,True,6000,52106
531,0.0002715587615966797,2.86102294921875e-06,1.7642974853515625e-05,False,6000,96405
532,0.00011730194091796875,3.0994415283203125e-06,1.1205673217773438e-05,True,6000,42078
533,0.00023555755615234375,2.86102294921875e-06,1.5735626220703125e-05,False,6000,81871
534,0.0002551078796386719,3.0994415283203125e-06,1.9073486328125e-05,True,6000,91558
535,0.000148773193359375,2.86102294921875e-06,1.2159347534179688e-05,False,6000,53724
536,5.459785461425781e-05,3.337860107421875e-06,9.298324584960938e-06,True,6000,19068
537,5.91278076171875e-05,2.86102294921875e-06,7.152557373046875e-06,False,6000,21134
538,0.00021147727966308594,2.86102294921875e-06,1.6689300537109375e-05,True,6000,73606
539,2.6226043701171875e-06,3.0994415283203125e-06,3.5762786865234375e-06,False,6000,510
540,0.00017952919006347656,3.0994415283203125e-06,1.33514404296875e-05,True,6000,64117
541,0.00017452239990234375,2.86102294921875e-06,1.3828277587890625e-05,False,6000,63249
542,0.00022530555725097656,2.6226043701171875e-06,1.5974044799804688e-05,True,6000,81480
543,6.794929504394531e-05,3.0994415283203125e-06,9.059906005859375e-06,False,6000,24187
544,0.00014281272888183594,1.430511474609375e-06,1.33514404296875e-05,True,6000,49993
545,0.0002586841583251953,3.0994415283203125e-06,1.7404556274414062e-05,False,6000,93037
546,9.012222290039062e-05,2.86102294921875e-06,8.821487426757812e-06,True,6000,31969
547,4.982948303222656e-05,2.86102294921875e-06,7.62939453125e-06,False,6000,17565
548,0.0002777576446533203,3.337860107421875e-06,2.0265579223632812e-05,True,6000,93188
549,0.00022292137145996094,2.86102294921875e-06,1.52587890625e-05,False,6000,80739
550,2.6702880859375e-05,3.0994415283203125e-06,4.76837158203125e-06,True,6000,9817
551,0.00014328956604003906,3.5762786865234375e-06,1.3828277587890625e-05,False,6000,50882
552,4.887580871582031e-05,3.0994415283203125e-06,6.4373016357421875e-06,True,6000,16981
553,0.00014400482177734375,2.6226043701171875e-06,1.1444091796875e-05,False,6000,50879
554,0.00022220611572265625,3.337860107421875e-06,1.621246337890625e-05,True,6000,79433
555,0.000202178955078125,2.6226043701171875e-06,1.5974044799804688e-05,False,6000,72162
556,0.000270843505859375,3.337860107421875e-06,1.9073486328125e-05,True,6000,98403
557,6.103515625e-05,3.0994415283203125e-06,7.152557373046875e-06,False,6000,20575
558,7.510185241699219e-05,3.337860107421875e-06,7.62939453125e-06,True,6000,26600
559,0.000202178955078125,3.0994415283203125e-06,1.430511474609375e-05,False,6000,69960
560,9.274482727050781e-05,2.86102294921875e-06,9.059906005859375e-06,True,6000,33105
561,8.463859558105469e-05,3.0994415283203125e-06,8.106231689453125e-06,False,6000,29344
562,0.00021886825561523438,2.86102294921875e-06,1.8358230590820312e-05,True,6000,77372
563,0.00020742416381835938,3.337860107421875e-06,1.430511474609375e-05,False,6000,74848
564,0.0002281665802001953,3.337860107421875e-06,1.5497207641601562e-05,True,6000,82099
565,0.00016379356384277344,3.0994415283203125e-06,1.3113021850585938e-05,False,6000,57314
566,0.0001556873321533203,3.0994415283203125e-06,1.1205673217773438e-05,True,6000,54502
567,0.0001609325408935547,3.0994415283203125e-06,1.3589859008789062e-05,False,6000,57098
568,0.00020432472229003906,3.0994415283203125e-06,1.52587890625e-05,True,6000,73350
569,5.435943603515625e-05,3.0994415283203125e-06,6.4373016357421875e-06,False,6000,19611
570,0.00023174285888671875,3.337860107421875e-06,1.6689300537109375e-05,True,6000,75969
571,0.0002949237823486328,3.337860107421875e-06,1.8358230590820312e-05,False,6000,96593
572,0.00022721290588378906,2.6226043701171875e-06,1.6927719116210938e-05,True,6000,80011
573,0.00016069412231445312,3.0994415283203125e-06,1.33514404296875e-05,False,6000,57234
574,0.00026607513427734375,3.814697265625e-06,1.9073486328125e-05,True,6000,94699
575,9.441375732421875e-05,2.86102294921875e-06,9.059906005859375e-06,False,6000,34714
576,6.67572021484375e-06,3.0994415283203125e-06,5.0067901611328125e-06,True,6000,2147
577,1.9073486328125e-06,2.86102294921875e-06,3.0994415283203125e-06,False,6000,262
578,0.00021219253540039062,3.0994415283203125e-06,1.5020370483398438e-05,True,6000,71391
579,9.918212890625e-05,2.86102294921875e-06,9.298324584960938e-06,False,6000,34924
580,0.0001938343048095703,2.384185791015625e-06,1.4543533325195312e-05,True,6000,67988
581,9.417533874511719e-05,3.0994415283203125e-06,8.344650268554688e-06,False,6000,33159
582,5.125999450683594e-05,2.86102294921875e-06,8.344650268554688e-06,True,6000,18043
583,7.843971252441406e-05,2.86102294921875e-06,7.62939453125e-06,False,6000,27096
